queryID precision recall F-score
701 0.15 0.06 0.08571428571428572
702 0.15 0.06 0.08571428571428572
704 0.15 0.06 0.08571428571428572
705 0.15 0.06 0.08571428571428572
706 0.15 0.06 0.08571428571428572
707 0.15 0.06 0.08571428571428572
708 0.15 0.06 0.08571428571428572
709 0.15 0.06 0.08571428571428572
711 0.15 0.06 0.08571428571428572
712 0.15 0.06 0.08571428571428572
713 0.15 0.06 0.08571428571428572
714 0.15 0.06 0.08571428571428572
715 0.15 0.06 0.08571428571428572
716 0.15 0.06 0.08571428571428572
722 0.15 0.06 0.08571428571428572
723 0.15 0.06 0.08571428571428572
724 0.15 0.06 0.08571428571428572
725 0.15 0.06 0.08571428571428572
727 0.15 0.06 0.08571428571428572
729 0.15 0.06 0.08571428571428572
730 0.15 0.06 0.08571428571428572
733 0.15 0.06 0.08571428571428572
735 0.15 0.06 0.08571428571428572
737 0.15 0.06 0.08571428571428572
738 0.15 0.06 0.08571428571428572
739 0.15 0.06 0.08571428571428572
740 0.1 0.04 0.05714285714285714
741 0.15 0.06 0.08571428571428572
743 0.15 0.06 0.08571428571428572
745 0.15 0.06 0.08571428571428572
746 0.15 0.06 0.08571428571428572
747 0.15 0.06 0.08571428571428572
749 0.15 0.06 0.08571428571428572
750 0.15 0.06 0.08571428571428572
751 0.15 0.06 0.08571428571428572
752 0.15 0.06 0.08571428571428572
753 0.15 0.06 0.08571428571428572
755 0.15 0.06 0.08571428571428572
757 0.15 0.06 0.08571428571428572
760 0.15 0.06 0.08571428571428572
761 0.15 0.06 0.08571428571428572
763 0.15 0.06 0.08571428571428572
770 0.15 0.06 0.08571428571428572
771 0.15 0.06 0.08571428571428572
772 0.15 0.06 0.08571428571428572
776 0.15 0.06 0.08571428571428572
782 0.15 0.06 0.08571428571428572
792 0.15 0.06 0.08571428571428572
794 0.15 0.06 0.08571428571428572
795 0.15 0.06 0.08571428571428572
798 0.15 0.06 0.08571428571428572
801 0.15 0.06 0.08571428571428572
802 0.1 0.04 0.05714285714285714
804 0.15 0.06 0.08571428571428572
806 0.15 0.06 0.08571428571428572
808 0.15 0.06 0.08571428571428572
810 0.15 0.06 0.08571428571428572
811 0.15 0.06 0.08571428571428572
812 0.15 0.06 0.08571428571428572
816 0.15 0.06 0.08571428571428572
817 0.15 0.06 0.08571428571428572
818 0.15 0.06 0.08571428571428572
820 0.15 0.06 0.08571428571428572
821 0.15 0.06 0.08571428571428572
822 0.15 0.06 0.08571428571428572
824 0.15 0.06 0.08571428571428572
825 0.15 0.06 0.08571428571428572
826 0.15 0.06 0.08571428571428572
829 0.15 0.06 0.08571428571428572
830 0.15 0.06 0.08571428571428572
831 0.15 0.06 0.08571428571428572
834 0.15 0.06 0.08571428571428572
835 0.15 0.06 0.08571428571428572
836 0.15 0.06 0.08571428571428572
837 0.15 0.06 0.08571428571428572
838 0.15 0.06 0.08571428571428572
841 0.15 0.06 0.08571428571428572
843 0.15 0.06 0.08571428571428572
846 0.15 0.06 0.08571428571428572
847 0.15 0.06 0.08571428571428572
849 0.15 0.06 0.08571428571428572
850 0.15 0.06 0.08571428571428572
